ko_id,pathway_id
K01628,map00051
K01629,map00051
K01711,map00051
K01729,map00051
K01795,map00051
K01803,map00051
K01805,map00051
K01808,map00051
K01809,map00051
K01813,map00051
K01818,map00051
K01820,map00051
K01840,map00051
K02377,map00051
K02446,map00051
K02768,map00051
K02769,map00051
K02770,map00051
K02771,map00051
K02781,map00051
K02782,map00051
K02783,map00051
K02793,map00051
K02794,map00051
K02795,map00051
K02796,map00051
K02798,map00051
K02800,map00051
K02812,map00051
K02813,map00051
K02814,map00051
K02815,map00051
K03332,map00051
K03841,map00051
K04041,map00051
K05305,map00051
K05947,map00051
K07026,map00051
K07046,map00051
K08261,map00051
K11194,map00051
K11195,map00051
K11196,map00051
K11532,map00051
K11645,map00051
K12660,map00051
K12661,map00051
K14634,map00051
K15778,map00051
K15856,map00051
K15916,map00051
K16011,map00051
K16305,map00051
K16306,map00051
K16370,map00051
K16881,map00051
K17195,map00051
K17497,map00051
K17742,map00051
K18333,map00051
K18334,map00051
K18335,map00051
K18336,map00051
K18337,map00051
K18338,map00051
K18339,map00051
K18447,map00051
K18818,map00051
K19028,map00051
K19029,map00051
K19030,map00051
K19270,map00051
K19290,map00051
K19291,map00051
K19355,map00051
K19633,map00051
K19956,map00051
K21071,map00051
K21620,map00051
K21883,map00051
K22252,map00051
K24182,map00051
K24204,map00051
K25814,map00051
K26911,map00051
K27475,map00051
K27924,map00051
K28465,map00051
K28472,map00051
K28607,map00051
K28751,map00051
K28849,map00051
K00011,map00052
K00035,map00052
K00094,map00052
K00704,map00052
K00844,map00052
K00845,map00052
K00849,map00052
K00850,map00052
K00883,map00052
K00917,map00052
K00963,map00052
K00965,map00052
K01084,map00052
K01182,map00052
K01187,map00052
K01189,map00052
K01190,map00052
K01193,map00052
K01203,map00052
K01220,map00052
K01229,map00052
K01631,map00052
K01635,map00052
K01684,map00052
K01784,map00052
K01785,map00052
K01804,map00052
K01819,map00052
K01835,map00052
K01854,map00052
K02079,map00052
K02082,map00052
K02744,map00052
K02745,map00052
K02746,map00052
K02747,map00052
K02773,map00052
K02774,map00052
K02775,map00052
K02786,map00052
K02788,map00052
K04618,map00052
K05308,map00052
K06611,map00052
K06617,map00052
K07406,map00052
K07407,map00052
K07966,map00052
K07967,map00052
K08302,map00052
K10984,map00052
K10985,map00052
K10986,map00052
K11395,map00052
K12047,map00052
K12111,map00052
K12112,map00052
K12308,map00052
K12309,map00052
K12316,map00052
K12317,map00052
K12407,map00052
K12447,map00052
K15778,map00052
K15779,map00052
K16370,map00052
K16371,map00052
K17716,map00052
K18124,map00052
K18125,map00052
K18126,map00052
K18127,map00052
K18819,map00052
K21071,map00052
K21620,map00052
K21621,map00052
K21622,map00052
K22215,map00052
K25026,map00052
K28214,map00052
K28660,map00052
K28886,map00052
K28887,map00052
K28892,map00052
K28898,map00052
K00002,map00053
K00012,map00053
K00062,map00053
K00063,map00053
K00064,map00053
K00103,map00053
K00107,map00053
K00128,map00053
K00149,map00053
K00225,map00053
K00423,map00053
K00434,map00053
K00469,map00053
K00699,map00053
K00880,map00053
K01053,map00053
K01195,map00053
K01630,map00053
K01683,map00053
K01706,map00053
K01707,map00053
K01708,map00053
K02821,map00053
K02822,map00053
K03077,map00053
K03078,map00053
K03079,map00053
K03475,map00053
K03476,map00053
K08092,map00053
K08232,map00053
K08679,map00053
K10046,map00053
K10047,map00053
K12447,map00053
K13873,map00053
K13874,map00053
K13875,map00053
K13876,map00053
K13877,map00053
K14085,map00053
K14190,map00053
K14259,map00053
K14756,map00053
K16190,map00053
K17744,map00053
K18649,map00053
K18981,map00053
K18982,map00053
K18983,map00053
K19588,map00053
K19590,map00053
K19642,map00053
K19660,map00053
K20023,map00053
K21888,map00053
K23003,map00053
K23004,map00053
K23005,map00053
K23007,map00053
K24443,map00053
K25260,map00053
K28472,map00053
K00059,map00061
K00208,map00061
K00209,map00061
K00645,map00061
K00647,map00061
K00648,map00061
K00665,map00061
K00667,map00061
K00668,map00061
K01071,map00061
K01716,map00061
K01897,map00061
K01946,map00061
K01961,map00061
K01962,map00061
K01963,map00061
K02160,map00061
K02371,map00061
K02372,map00061
K03921,map00061
K03922,map00061
K07512,map00061
K09458,map00061
K10780,map00061
K10781,map00061
K10782,map00061
K11262,map00061
K11263,map00061
K11533,map00061
K11539,map00061
K13370,map00061
K15013,map00061
K16363,map00061
K18472,map00061
K18473,map00061
K18474,map00061
K18660,map00061
K22540,map00061
K22541,map00061
K28161,map00061
K00022,map00062
K01068,map00062
K01074,map00062
K07508,map00062
K07509,map00062
K07511,map00062
K07512,map00062
K07515,map00062
K10203,map00062
K10205,map00062
K10244,map00062
K10245,map00062
K10246,map00062
K10247,map00062
K10248,map00062
K10249,map00062
K10250,map00062
K10251,map00062
K10258,map00062
K10703,map00062
K15397,map00062
K16339,map00062
K17360,map00062
K22554,map00062
K28199,map00062
K00001,map00071
K00022,map00071
K00121,map00071
K00128,map00071
K00149,map00071
K00232,map00071
K00248,map00071
K00249,map00071
K00252,map00071
K00255,map00071
K00496,map00071
K00529,map00071
K00530,map00071
K00626,map00071
K00632,map00071
K01692,map00071
K01782,map00071
K01825,map00071
K01897,map00071
K01909,map00071
K04072,map00071
K05297,map00071
K05939,map00071
K06445,map00071
K07422,map00071
K07425,map00071
K07508,map00071
K07509,map00071
K07511,map00071
K07513,map00071
K07514,map00071
K07515,map00071
K07516,map00071
K07517,map00071
K08765,map00071
K08766,map00071
K09478,map00071
K09479,map00071
K10527,map00071
K13238,map00071
K13239,map00071
K13767,map00071
K13951,map00071
K13952,map00071
K13953,map00071
K13954,map00071
K13980,map00071
K14085,map00071
K14338,map00071
K15013,map00071
K15401,map00071
K18857,map00071
K18880,map00071
K19523,map00071
K19524,map00071
K20495,map00071
K21738,map00071
K22567,map00071
K22887,map00071
K28161,map00071
K00635,map00073
K13356,map00073
K13407,map00073
K15398,map00073
K15400,map00073
K15401,map00073
K15402,map00073
K15403,map00073
K15404,map00073
K15405,map00073
K15406,map00073
K17991,map00073
K20495,map00073
K20769,map00073
K21995,map00073
K27538,map00073
K28138,map00073
K28139,map00073
K28140,map00073
K28384,map00073
K28799,map00073
K00120,map00074
K00645,map00074
K00997,map00074
K02362,map00074
K03921,map00074
K03922,map00074
K11263,map00074
K11533,map00074
K11608,map00074
K11609,map00074
K11610,map00074
K11611,map00074
K12428,map00074
K12437,map00074
K18472,map00074
K18851,map00074
K26590,map00074
K26591,map00074
K26592,map00074
K26593,map00074
K26594,map00074
K26595,map00074
K26596,map00074
K27070,map00074
K27071,map00074
K27072,map00074
K27073,map00074
K27074,map00074
K27093,map00074
K27094,map00074
K27095,map00074
K27306,map00074
K27308,map00074
K27359,map00074
K27689,map00074
K00213,map00100
K00222,map00100
K00223,map00100
K00227,map00100
K00511,map00100
K00559,map00100
K00637,map00100
K00801,map00100
K01052,map00100
K01824,map00100
K01852,map00100
K01853,map00100
K05917,map00100
K07419,map00100
K07436,map00100
K07438,map00100
K07748,map00100
K07750,map00100
K08242,map00100
K08246,map00100
K09827,map00100
K09828,map00100
K09829,map00100
K09831,map00100
K09832,map00100
K12298,map00100
K13373,map00100
K14423,map00100
K14424,map00100
K14674,map00100
K19532,map00100
K21146,map00100
K23485,map00100
K23558,map00100
K00076,map00121
K01442,map00121
K07007,map00121
K15868,map00121
K15869,map00121
K15870,map00121
K15871,map00121
K15872,map00121
K15873,map00121
K15874,map00121
K22604,map00121
K22605,map00121
K22606,map00121
K22607,map00121
K23231,map00121
K00355,map00130
K00457,map00130
K00487,map00130
K00568,map00130
K00591,map00130
K00815,map00130
K00838,map00130
K01075,map00130
K01661,map00130
K01851,map00130
K01904,map00130
K01911,map00130
K02361,map00130
K02548,map00130
K02549,map00130
K02551,map00130
K02552,map00130
K03179,map00130
K03181,map00130
K03182,map00130
K03183,map00130
K03184,map00130
K03185,map00130
K03186,map00130
K03809,map00130
K05357,map00130
K05928,map00130
K06125,map00130
K06126,map00130
K06127,map00130
K06134,map00130
K08680,map00130
K09833,map00130
K09834,map00130
K10106,map00130
K11782,map00130
K11783,map00130
K11784,map00130
K11785,map00130
K12073,map00130
K12501,map00130
K12502,map00130
K13565,map00130
K14759,map00130
K14760,map00130
K17872,map00130
K18240,map00130
K18284,map00130
K18285,map00130
K18286,map00130
K18534,map00130
K18586,map00130
K18606,map00130
K18800,map00130
K19222,map00130
K19267,map00130
K20810,map00130
K23094,map00130
K23095,map00130
K24441,map00130
K24843,map00130
K24844,map00130
K24845,map00130
K28034,map00130
K00233,map00190
K00234,map00190
K00235,map00190
K00236,map00190
K00237,map00190
K00239,map00190
K00240,map00190
K00241,map00190
K00242,map00190
K00244,map00190
K00245,map00190
K00246,map00190
K00247,map00190
K00330,map00190
K00331,map00190
K00332,map00190
K00333,map00190
K00334,map00190
K00335,map00190
K00336,map00190
K00337,map00190
K00338,map00190
K00339,map00190
K00340,map00190
K00341,map00190
K00342,map00190
K00343,map00190
K00404,map00190
K00405,map00190
K00406,map00190
K00407,map00190
K00410,map00190
K00411,map00190
K00412,map00190
K00413,map00190
K00414,map00190
K00415,map00190
K00416,map00190
K00417,map00190
K00418,map00190
K00419,map00190
K00420,map00190
K00424,map00190
K00425,map00190
K00426,map00190
K00937,map00190
K01507,map00190
K01535,map00190
K01542,map00190
K01543,map00190
K01544,map00190
K01549,map00190
K02107,map00190
K02108,map00190
K02109,map00190
K02110,map00190
K02111,map00190
K02112,map00190
K02113,map00190
K02114,map00190
K02115,map00190
K02117,map00190
K02118,map00190
K02119,map00190
K02120,map00190
K02121,map00190
K02122,map00190
K02123,map00190
K02124,map00190
K02125,map00190
K02126,map00190
K02127,map00190
K02128,map00190
K02129,map00190
K02130,map00190
K02131,map00190
K02132,map00190
K02133,map00190
K02134,map00190
K02135,map00190
K02136,map00190
K02137,map00190
K02138,map00190
K02139,map00190
K02140,map00190
K02141,map00190
K02142,map00190
K02143,map00190
K02144,map00190
K02145,map00190
K02146,map00190
K02147,map00190
K02148,map00190
K02149,map00190
K02150,map00190
K02151,map00190
K02152,map00190
K02153,map00190
K02154,map00190
K02155,map00190
K02256,map00190
K02257,map00190
K02258,map00190
K02259,map00190
K02260,map00190
K02261,map00190
K02262,map00190
K02263,map00190
K02264,map00190
K02265,map00190
K02266,map00190
K02267,map00190
K02268,map00190
K02269,map00190
K02270,map00190
K02271,map00190
K02272,map00190
K02273,map00190
K02274,map00190
K02275,map00190
K02276,map00190
K02277,map00190
K02297,map00190
K02298,map00190
K02299,map00190
K02300,map00190
K02826,map00190
K02827,map00190
K02828,map00190
K02829,map00190
K03661,map00190
K03662,map00190
K03878,map00190
K03879,map00190
K03880,map00190
K03881,map00190
K03882,map00190
K03883,map00190
K03884,map00190
K03885,map00190
K03886,map00190
K03887,map00190
K03888,map00190
K03889,map00190
K03890,map00190
K03891,map00190
K03934,map00190
K03935,map00190
K03936,map00190
K03937,map00190
K03938,map00190
K03939,map00190
K03940,map00190
K03941,map00190
K03942,map00190
K03943,map00190
